Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,0,15,23,21,18,28,20,50,17,5,28,28,38,51,18,14,16,30,23,18,20,22,54,57,18,26,20,13
2,15,0,34,8,31,42,33,37,30,18,41,30,34,34,4,1,3,30,38,5,7,7,39,41,5,13,6,28
3,23,34,0,31,24,10,11,73,23,18,18,48,60,72,36,37,38,50,14,34,38,38,64,65,34,47,34,18
4,21,8,31,0,39,36,42,40,38,19,47,38,44,39,8,8,9,37,46,4,7,7,34,37,3,17,4,22
5,18,31,24,39,0,30,18,47,1,20,16,26,35,48,37,30,32,26,15,35,36,38,69,70,37,23,37,26
6,28,42,10,36,30,0,22,72,30,23,28,58,62,74,44,41,45,54,23,40,45,43,54,56,38,56,37,14
7,20,33,11,42,18,22,0,64,18,24,7,43,52,64,40,35,37,42,3,40,40,43,75,77,40,41,40,28
8,50,37,73,40,47,72,64,0,49,55,60,38,43,1,33,36,32,39,62,36,33,34,44,41,38,23,38,62
9,17,30,23,38,1,30,18,49,0,20,15,26,35,48,35,30,32,29,14,36,38,38,70,73,36,24,35,25
10,5,18,18,19,20,23,24,55,20,0,30,34,40,54,19,18,22,35,27,16,20,19,52,54,16,31,16,10
11,28,41,18,47,16,28,7,60,15,30,0,41,51,61,44,42,42,41,4,47,47,47,77,79,46,40,46,36
12,28,30,48,38,26,58,43,38,26,34,41,0,9,38,36,30,33,1,40,33,38,39,69,70,34,21,35,42
13,38,34,60,44,35,62,52,43,35,40,51,9,0,45,38,34,35,8,47,38,40,42,74,76,41,26,40,50
14,51,34,72,39,48,74,64,1,48,54,61,38,45,0,34,34,33,41,58,36,33,34,44,40,39,22,39,60
15,18,4,36,8,37,44,40,33,35,19,44,36,38,34,0,5,3,36,40,4,3,3,36,39,5,14,4,30
16,14,1,37,8,30,41,35,36,30,18,42,30,34,34,5,0,3,31,38,5,7,7,41,43,5,12,6,28
17,16,3,38,9,32,45,37,32,32,22,42,33,35,33,3,3,0,31,38,6,6,6,38,40,6,10,6,30
18,30,30,50,37,26,54,42,39,29,35,41,1,8,41,36,31,31,0,40,36,37,38,71,76,37,22,35,42
19,23,38,14,46,15,23,3,62,14,27,4,40,47,58,40,38,38,40,0,41,42,43,78,81,42,37,41,30
20,18,5,34,4,35,40,40,36,36,16,47,33,38,36,4,5,6,36,41,0,5,4,34,38,1,15,1,24
21,20,7,38,7,36,45,40,33,38,20,47,38,40,33,3,7,6,37,42,5,0,1,35,34,5,16,4,31
22,22,7,38,7,38,43,43,34,38,19,47,39,42,34,3,7,6,38,43,4,1,0,32,35,4,16,4,30
23,54,39,64,34,69,54,75,44,70,52,77,69,74,44,36,41,38,71,78,34,35,32,0,4,36,47,34,46
24,57,41,65,37,70,56,77,41,73,54,79,70,76,40,39,43,40,76,81,38,34,35,4,0,39,52,36,48
25,18,5,34,3,37,38,40,38,36,16,46,34,41,39,5,5,6,37,42,1,5,4,36,39,0,16,1,25
26,26,13,47,17,23,56,41,23,24,31,40,21,26,22,14,12,10,22,37,15,16,16,47,52,16,0,15,40
27,20,6,34,4,37,37,40,38,35,16,46,35,40,39,4,6,6,35,41,1,4,4,34,36,1,15,0,26
28,13,28,18,22,26,14,28,62,25,10,36,42,50,60,30,28,30,42,30,24,31,30,46,48,25,40,26,0
