Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
1,0,6,8,19,20,3,3,11,11,10,6,2,4,2,23,22,38,3,24,24,4,8,14,7,10,22,2,5,14,14,24,11,12,3,7,4,13,24,6,2,18,6,2,16,34,44,8,10,14,21,22,3,8,8,11,22,14,4,14,19,3,14,11,22,22,12,8,2,18,3,12,7,8,10,10,11,1,6,10,23,8,6,2,3,9,3,22,6,6
2,6,0,7,18,19,4,4,16,17,5,4,5,3,6,20,19,36,8,24,27,9,5,18,7,6,20,4,8,12,12,18,16,18,3,8,7,11,20,0,4,23,2,4,20,32,39,7,16,15,20,22,7,13,6,17,20,12,5,12,18,3,12,16,28,18,11,12,6,17,5,17,2,7,14,4,9,6,8,15,29,2,8,4,8,6,3,22,12,11
3,8,7,0,17,14,10,6,15,16,9,3,10,4,11,14,13,28,7,17,25,8,4,18,7,4,14,6,13,6,5,19,15,16,6,14,11,7,22,6,7,23,5,8,20,25,33,1,16,20,13,16,6,12,4,17,14,7,11,6,11,6,6,17,26,13,5,11,6,18,11,16,8,13,14,10,3,8,14,14,26,8,14,9,11,4,6,15,10,10
4,19,18,17,0,10,20,16,17,27,22,16,20,16,20,16,14,26,16,17,8,16,19,5,13,21,13,16,24,12,18,35,16,24,16,24,21,24,39,18,17,12,17,17,4,25,25,17,16,32,14,16,17,11,21,9,10,15,21,18,20,16,19,27,21,14,18,12,17,0,21,12,20,24,11,23,16,18,24,12,10,19,24,20,22,21,16,15,18,17
5,20,19,14,10,0,22,19,19,28,21,16,22,18,24,6,4,18,18,7,17,18,14,9,15,15,4,18,26,8,9,26,19,27,20,28,24,14,29,19,20,15,19,20,13,16,22,13,18,34,5,7,18,14,14,12,0,7,25,8,10,20,10,28,23,5,9,14,20,9,25,16,22,27,14,22,11,22,26,15,20,21,28,23,25,14,19,6,20,20
6,3,4,10,20,22,0,4,13,14,8,6,2,5,3,22,22,39,5,26,24,6,8,15,8,8,24,4,4,14,14,22,14,14,3,6,4,14,24,4,2,21,4,2,18,35,44,10,13,12,21,24,4,10,8,14,22,16,2,14,20,3,16,14,24,22,14,10,3,20,2,14,4,6,12,8,13,3,5,12,24,5,5,0,6,8,3,24,8,8
7,3,4,6,16,19,4,0,14,14,8,4,4,2,5,20,18,35,5,24,24,6,6,15,4,6,21,1,7,12,10,22,13,14,1,9,6,11,23,4,2,20,3,2,19,32,42,6,13,16,19,21,4,9,6,13,20,13,6,12,16,1,12,13,25,18,10,9,2,17,5,15,5,8,12,8,9,3,8,13,26,5,8,4,5,6,1,21,8,8
8,11,16,15,17,19,13,14,0,10,20,15,12,14,10,21,19,35,8,23,21,8,18,12,9,19,20,13,9,12,16,34,0,8,14,17,10,21,36,16,13,8,15,12,14,32,42,14,0,15,18,22,10,5,18,8,20,12,14,16,16,13,18,10,12,18,15,5,11,16,12,4,18,18,6,20,15,10,12,5,19,18,12,12,8,18,13,21,5,6
9,11,17,16,27,28,14,14,10,0,22,14,12,14,11,32,29,44,10,34,31,12,19,22,15,20,31,12,9,23,22,35,11,3,14,18,10,22,36,16,14,16,16,12,24,41,51,16,11,5,28,30,12,16,19,18,28,24,15,21,27,14,22,0,11,28,21,16,11,26,12,14,18,18,15,21,19,10,13,14,30,18,12,13,9,19,14,31,10,11
10,10,5,9,22,21,8,8,20,22,0,6,9,8,10,24,23,39,12,25,30,14,8,22,12,8,23,8,12,15,14,17,19,22,7,6,11,14,16,5,8,28,5,8,27,35,44,10,21,18,22,24,12,17,8,22,23,16,7,15,19,8,14,21,32,23,14,16,10,22,9,21,4,4,19,1,13,10,9,20,32,3,9,8,12,9,8,25,16,16
