Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267
1,0,40,44,50,63,45,13,70,57,35,31,51,48,72,56,71,46,78,17,74,46,75,39,49,29,16,74,35,28,44,57,46,37,38,10,40,73,40,25,79,50,43,49,40,49,69,47,43,24,78,56,44,41,72,53,58,28,54,51,75,33,42,53,62,74,79,74,36,52,72,71,44,77,36,48,52,31,50,34,73,43,51,50,83,45,42,53,70,50,75,81,48,63,34,33,34,74,61,49,66,53,35,48,64,51,60,13,11,72,74,54,36,0,28,42,42,46,37,69,70,42,47,74,76,73,45,51,69,47,38,61,73,51,31,62,75,58,58,75,79,49,54,54,74,51,60,70,74,73,52,81,53,47,43,44,36,83,42,38,33,40,41,8,12,40,51,71,74,69,45,62,47,50,52,70,49,48,76,75,32,31,74,45,82,44,32,37,26,55,64,40,53,39,40,48,45,42,61,75,85,54,51,38,40,44,32,83,76,49,60,67,75,35,45,71,72,22,85,53,47,74,80,82,74,36,50,78,79,68,72,50,46,45,71,72,76,74,77,45,73,38,45,56,21,20,10,73,74,72,75,33,74,71,76,72,38,10,63,51,72,72,78,34,39,74,78,54
2,40,0,1,20,24,20,28,31,17,6,10,12,16,36,17,32,12,34,25,35,20,37,16,16,12,26,32,6,15,5,16,17,18,4,32,3,29,2,20,38,20,5,18,2,30,29,17,6,22,35,25,6,3,29,23,16,16,18,15,33,8,4,29,20,34,34,33,4,15,34,30,6,34,8,17,16,10,15,6,34,8,16,16,40,10,2,18,34,15,32,40,16,22,12,8,8,34,18,30,23,15,7,15,21,16,21,30,31,30,34,17,17,41,27,5,3,11,5,32,29,4,7,30,35,33,18,15,30,17,17,22,32,14,10,21,32,23,22,33,36,17,11,12,36,17,24,32,34,34,21,40,18,16,4,12,6,39,6,2,11,3,9,48,52,4,12,31,34,31,17,20,10,16,28,28,17,18,32,32,8,10,35,11,38,6,9,3,16,18,21,2,12,20,7,16,16,3,35,33,44,24,11,3,19,5,9,37,38,17,22,28,33,5,4,29,34,21,40,28,10,33,36,40,31,6,20,36,38,28,34,12,17,13,30,32,36,34,36,4,33,4,17,18,20,48,51,29,38,33,32,8,30,34,34,34,3,34,25,9,32,34,34,10,13,33,34,15
3,44,1,0,20,24,19,30,28,18,6,11,13,16,34,18,32,13,33,26,34,20,36,15,18,12,26,30,7,16,6,18,16,19,4,33,4,28,3,21,34,19,6,18,3,28,29,18,6,24,32,24,5,4,28,23,18,16,19,15,34,9,4,30,20,34,32,31,5,15,35,28,6,34,8,17,17,10,16,7,32,7,17,18,40,11,2,18,32,16,31,36,17,23,12,9,9,33,20,29,23,16,8,16,19,17,22,30,31,30,33,19,17,44,28,6,3,11,6,31,27,4,7,27,33,32,18,16,30,18,18,23,32,16,10,19,30,24,23,32,34,18,10,12,35,16,24,30,33,33,21,37,19,17,3,13,7,39,6,3,11,4,8,52,48,4,11,31,33,31,17,19,11,16,30,27,18,19,34,32,9,10,32,11,35,6,9,4,16,19,20,3,11,20,7,16,18,4,35,32,42,24,10,4,19,6,10,38,37,18,21,28,31,6,3,30,31,20,39,31,11,34,35,39,32,7,22,35,34,29,32,12,17,13,28,30,32,36,34,4,34,5,17,19,20,50,52,30,34,32,29,9,28,33,33,35,4,32,24,8,30,34,34,11,13,34,32,14
4,50,20,20,0,14,6,38,21,5,18,19,8,37,26,6,24,8,26,34,26,7,27,33,3,21,36,22,23,23,15,7,4,26,20,40,21,20,19,28,27,2,15,4,17,10,20,4,14,32,25,8,24,18,20,4,8,27,5,5,25,17,16,9,12,25,25,23,22,5,27,20,15,25,17,4,4,19,4,18,25,28,4,4,30,10,22,5,23,4,22,28,4,13,17,16,16,26,8,11,13,5,23,4,11,4,8,40,39,22,27,5,16,50,35,14,23,10,16,23,20,15,16,21,27,23,6,4,22,4,23,13,22,5,19,11,23,6,6,24,26,3,15,8,27,4,9,22,27,25,2,29,5,4,22,8,22,31,14,19,19,18,28,56,60,17,11,22,26,23,4,11,10,4,11,20,4,3,24,24,27,19,25,9,29,15,16,19,24,5,11,18,9,21,14,4,4,17,15,24,32,6,14,18,23,15,18,31,26,3,12,21,23,21,23,22,24,29,31,9,10,26,29,31,24,18,2,25,28,20,24,8,4,8,21,22,25,26,28,23,26,21,8,4,30,55,59,21,27,25,22,21,21,24,26,26,21,41,15,13,21,25,26,19,13,26,24,16
5,63,24,24,14,0,19,51,9,9,28,32,12,39,12,7,11,16,12,45,12,19,14,36,14,32,47,10,29,36,20,6,16,36,26,52,25,9,25,43,15,12,20,16,22,14,7,16,20,44,13,5,29,22,8,11,6,36,8,14,12,29,21,10,15,12,13,11,26,14,13,9,18,13,29,14,14,30,13,28,12,30,14,14,19,18,25,9,11,14,11,17,14,0,29,30,31,12,5,12,0,14,28,14,7,14,6,54,52,10,14,9,31,63,49,20,26,18,28,11,13,22,19,8,14,11,18,14,9,17,39,0,10,14,31,13,10,8,7,11,13,15,18,12,15,14,5,10,14,13,13,16,8,14,26,16,28,19,20,24,33,25,31,68,71,24,14,11,14,11,16,14,18,14,12,7,14,14,12,11,31,32,11,18,16,20,31,24,38,8,7,23,12,34,22,16,17,24,12,11,20,8,16,24,36,20,31,16,15,16,14,7,11,26,25,8,11,44,19,10,18,12,15,19,10,28,13,13,14,7,12,12,17,20,8,9,13,13,14,27,12,25,20,10,40,70,75,8,15,12,10,31,8,11,13,13,25,54,14,16,12,12,14,32,25,12,13,20
6,45,20,19,6,19,0,37,27,11,17,16,7,34,31,12,28,7,29,29,32,1,31,34,4,19,34,29,24,19,14,13,4,18,18,35,21,26,19,24,34,7,15,3,17,10,26,3,14,28,30,13,23,18,26,8,12,20,10,5,32,17,16,10,16,31,31,28,22,5,32,28,13,30,18,5,6,17,6,18,31,26,6,5,39,9,22,10,30,6,27,36,6,19,12,12,16,32,14,11,18,6,24,6,17,6,12,32,33,28,32,11,12,46,30,14,22,9,16,26,26,15,14,27,32,30,2,6,28,3,18,18,28,5,16,17,28,11,12,28,31,5,14,8,32,5,14,28,31,32,6,34,10,4,21,7,23,36,14,20,14,18,29,50,53,17,10,28,32,26,3,18,9,6,11,25,5,5,31,29,26,13,31,9,33,14,12,18,19,10,16,18,9,16,13,4,3,17,18,29,40,11,13,18,19,14,18,35,32,3,18,24,29,22,21,26,28,25,39,10,9,31,34,37,28,19,6,31,33,26,30,8,3,7,27,27,32,33,34,24,32,21,3,10,29,54,56,27,33,30,26,20,28,28,30,30,21,38,21,13,27,31,32,15,8,30,32,15
7,13,28,30,38,51,37,0,58,44,22,20,37,36,62,45,60,36,62,8,60,38,66,26,36,18,4,61,23,22,32,43,36,34,25,7,26,60,28,22,63,41,30,34,28,44,56,34,32,20,62,46,34,28,59,41,47,23,42,39,64,22,31,47,47,64,64,58,25,37,62,60,34,65,22,37,38,20,37,23,59,32,38,39,67,34,30,42,62,38,58,66,37,51,30,25,21,60,44,46,51,36,22,39,47,39,47,7,5,58,62,44,34,12,24,31,28,32,25,62,57,29,35,57,62,60,34,37,62,36,35,49,59,36,19,48,60,42,44,62,66,37,40,40,62,38,47,63,66,64,38,64,41,36,34,36,22,66,31,27,22,25,31,19,21,25,41,59,66,61,36,50,33,37,45,57,38,36,62,58,22,24,62,32,66,32,26,26,22,43,51,28,39,35,29,37,36,27,52,62,72,44,38,25,36,31,21,69,68,34,48,56,61,24,32,58,59,16,68,45,31,65,66,70,61,24,40,63,67,57,64,38,33,32,55,60,65,62,66,32,66,26,34,41,10,20,23,61,68,60,60,21,61,62,66,62,27,5,53,36,62,62,62,22,29,63,62,44
8,70,31,28,21,9,27,58,0,16,36,38,20,42,12,16,3,24,6,57,11,26,6,43,23,42,56,16,35,44,28,14,23,44,33,61,33,4,31,49,9,20,28,25,31,23,1,25,28,51,18,13,31,30,4,18,14,44,16,22,8,38,30,18,20,14,14,15,34,22,12,0,27,16,39,22,22,41,22,35,4,33,22,21,11,26,28,16,7,22,15,10,22,9,39,38,37,14,13,19,8,22,36,20,11,20,15,62,62,13,18,16,37,74,54,29,31,27,35,16,17,28,24,4,6,15,26,20,1,24,43,8,2,22,41,17,2,15,16,7,5,22,22,21,7,22,13,7,6,10,20,8,17,23,30,26,36,12,28,32,42,34,34,76,83,34,18,15,16,15,25,19,27,20,19,5,22,21,14,7,36,37,12,26,8,29,39,32,47,16,11,30,19,40,32,22,24,30,9,14,12,16,22,32,44,28,36,9,16,25,18,5,3,35,31,0,4,48,12,17,26,14,8,12,2,34,20,5,6,2,15,19,25,27,4,2,11,8,7,32,13,34,29,17,47,77,78,4,14,4,2,37,1,13,6,5,34,62,19,21,16,16,5,40,33,15,14,24
9,57,17,18,5,9,11,44,16,0,20,23,6,34,21,2,19,9,21,40,20,11,22,32,7,25,38,18,22,29,13,2,7,28,18,44,19,17,16,32,24,4,13,8,15,12,16,9,13,35,22,6,22,15,16,6,3,30,0,6,21,21,14,11,10,20,20,19,20,6,21,16,13,20,20,6,5,23,5,20,20,26,5,6,26,10,19,0,19,5,16,26,5,8,23,22,22,19,4,12,8,5,21,5,6,5,4,44,46,18,20,0,22,53,40,12,20,10,19,18,16,14,14,16,22,18,11,5,18,8,28,8,18,6,24,7,18,6,6,18,22,6,13,6,24,6,6,18,21,22,5,24,0,7,20,9,22,26,12,18,23,17,26,66,65,17,9,17,22,17,8,9,10,6,13,16,6,6,20,19,26,22,19,10,22,13,22,16,30,0,7,16,8,25,16,7,8,15,16,19,30,7,12,17,28,12,22,25,22,8,9,16,20,19,21,16,20,34,26,12,10,20,25,27,18,19,5,20,23,15,21,6,8,12,16,17,21,21,24,22,20,19,12,2,34,65,64,17,22,19,17,23,16,19,21,22,19,44,11,11,16,22,20,23,18,20,21,13
10,35,6,6,18,28,17,22,36,20,0,4,16,19,41,22,40,11,38,21,40,17,40,17,16,6,21,38,6,10,8,21,14,17,3,24,4,34,4,15,40,18,8,15,6,27,34,14,8,17,41,23,10,6,35,21,22,11,20,14,41,3,7,28,26,38,40,36,4,14,38,34,10,38,2,14,15,4,14,1,40,10,15,14,48,10,7,19,37,15,37,43,14,28,10,6,2,38,23,29,27,14,7,14,25,14,23,25,26,35,39,19,15,36,21,8,6,10,2,38,34,6,13,36,40,38,15,15,36,14,17,28,35,14,5,26,38,20,21,36,38,15,16,16,43,14,22,36,39,40,19,45,20,14,10,11,6,46,8,4,5,3,10,44,44,3,17,37,41,37,15,26,10,14,29,33,14,15,40,36,10,4,38,10,43,8,7,3,11,20,26,5,16,16,5,14,14,5,31,39,48,21,16,3,16,8,3,44,43,15,26,36,38,4,10,36,40,15,47,27,10,40,42,46,36,1,18,39,40,34,38,16,14,11,35,38,41,41,44,9,39,4,14,19,14,45,46,36,44,39,36,4,36,39,42,40,4,26,30,14,35,38,40,4,11,40,41,20
