Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
1,0,15,9,11,14,10,10,6,6,9,9,8,7,6,11,5,6,3,6,6,11,7,12,8,8,6,6,8,7,7,11,3,11,6,10,10,8,10,6,11,8,6,9,6,3,9,6,9,6,5,6,9,10,8,8,9,13,6,9,8,15,6,8,4,5,10,8,1,8,13,12,7,6,13,6,8,7,6,6,5,7,10,13,2,15,10,9,4,6,8,9,7,10,7,8,6,8,19,20,10,13,9,10,9,8,7,8,9,6,3,8,7,14,8,10,7,6,6,9,9,10,6,5,8,14,10,12,7,12,7,11,6,10,6,10,14,12,3,8,7,10,8,12,8,15,10,10,8,13,3,6,10,8,32,7,8,9,8,8,8,10,6,7,6,5,2,10,6,7,11,13,9,8,7,6,12,9,8,14,5,13,7,9,12,14,8,8,10,8,6,11,34,9,12,3,12,6,8,7,8,8,14,5,4,13,6,3,8,12,6,11,3,6,2,10,8,11,8,16,14,10,16,5,4,10,7,16,6,7,12,10,6,5,13,10,12,7,3,9,8,10,11,30,24,9,10,5,5,2,6,9,6,10,1,7,8,5,4,6,4,10,7,11,9,2,4,8,6,18,5,16,8,14,4,7,19,13,7,10,10,4,7,6,6,8,10,6,5,5,8,10,12,7,12,34,6,16,4,10
2,15,0,18,4,28,19,18,20,22,24,17,21,17,22,21,16,22,18,20,20,5,22,6,22,23,16,22,17,8,16,20,18,5,20,18,18,21,19,20,25,22,18,18,20,18,23,20,18,15,18,21,18,21,24,17,18,23,19,23,22,24,20,22,18,20,26,18,16,18,21,21,18,21,22,22,22,23,21,20,20,21,19,23,16,23,19,18,20,21,22,24,20,16,22,15,20,17,6,35,23,19,24,18,19,23,21,22,20,21,17,16,22,24,24,21,16,12,21,24,18,18,22,18,23,24,18,25,23,22,18,23,20,25,22,24,21,27,17,16,21,19,18,27,23,31,18,10,17,21,17,15,18,17,43,21,16,24,22,22,22,20,21,22,17,15,17,18,20,19,4,16,18,17,16,18,23,20,18,24,13,16,22,18,4,1,19,22,20,18,22,4,19,25,26,16,22,18,22,22,22,24,24,19,18,22,21,14,20,26,21,19,16,20,18,21,22,11,23,3,21,20,24,16,16,25,20,24,21,21,21,18,21,20,24,20,20,16,19,19,24,19,4,17,34,18,19,15,16,17,21,22,15,20,17,22,23,14,14,21,19,18,16,4,17,14,19,21,22,35,20,26,24,23,13,22,32,22,20,24,26,12,20,21,21,20,20,21,17,13,23,25,4,17,4,20,22,26,18,24
3,9,18,0,20,15,3,3,9,8,13,3,8,3,8,7,5,10,6,6,6,20,8,20,10,11,15,7,3,16,3,6,9,19,10,4,4,10,3,8,18,10,4,2,9,10,10,6,4,4,5,9,4,7,12,3,4,22,4,10,9,6,11,9,8,8,16,3,8,3,22,23,4,7,4,9,8,10,7,10,15,10,3,21,8,6,6,3,12,6,10,10,5,20,8,3,9,4,24,21,10,22,10,3,3,9,8,9,19,8,10,2,9,5,10,7,3,15,10,14,3,2,9,14,10,5,3,21,8,6,5,8,9,11,10,18,23,18,10,2,9,2,4,14,9,17,3,19,2,4,10,16,3,3,24,9,4,12,9,9,9,1,9,14,4,5,9,3,11,16,19,21,1,2,4,5,10,18,2,11,5,22,8,18,19,19,4,9,18,4,8,18,32,17,21,7,3,5,10,8,9,13,6,12,6,4,7,11,6,20,8,6,6,15,8,18,9,21,8,22,23,19,6,14,6,17,16,25,7,9,5,2,7,14,10,4,4,2,8,1,12,6,19,34,16,18,3,5,5,8,9,10,4,6,8,8,10,14,13,8,7,3,3,19,18,11,6,8,9,20,12,8,10,8,14,8,21,21,7,13,12,14,16,7,13,17,6,7,4,5,12,16,18,4,18,32,8,7,5,18
4,11,4,20,0,26,18,18,16,17,19,18,17,16,17,20,14,17,12,16,16,2,17,3,19,18,11,16,17,4,16,21,14,1,16,18,20,18,19,17,21,18,15,18,18,14,19,16,18,15,14,16,18,20,19,17,19,18,16,19,18,25,17,19,14,16,21,17,11,17,18,18,17,16,22,17,18,19,16,17,15,18,20,18,13,24,19,19,15,16,18,19,16,12,17,17,18,18,7,30,19,15,19,19,19,19,18,18,16,17,13,17,17,24,20,18,16,8,17,20,19,20,16,14,18,24,20,22,17,22,16,21,17,21,16,20,17,22,14,17,18,20,18,22,18,25,19,6,18,22,14,11,18,16,42,17,18,20,18,19,19,20,17,18,15,15,12,18,16,14,1,12,18,18,16,16,22,16,18,23,15,11,17,14,1,4,16,19,16,18,17,1,22,20,21,13,22,15,18,18,19,20,24,15,13,23,16,10,16,22,17,21,12,15,14,16,19,7,19,5,18,16,24,12,14,20,16,18,15,18,20,18,17,16,22,20,22,16,14,18,19,19,1,19,35,15,19,14,14,12,17,20,16,20,11,17,19,10,10,17,14,19,17,1,14,10,16,17,17,29,16,26,20,24,9,18,31,18,16,21,21,8,15,17,16,16,20,16,15,14,18,20,2,16,1,24,18,25,13,21
5,14,28,15,26,0,13,13,8,8,11,13,7,16,8,8,14,8,13,10,10,24,8,22,7,8,14,8,12,22,17,11,12,24,8,13,12,7,12,8,14,7,12,13,8,12,6,10,12,15,11,8,13,9,9,14,12,19,11,6,7,15,9,7,11,10,14,13,14,12,20,19,11,9,15,8,7,8,8,8,12,8,13,19,12,16,10,13,10,9,7,6,10,16,8,18,9,12,32,6,7,19,6,13,13,7,8,7,16,9,12,15,8,14,6,9,16,17,8,12,13,16,8,12,7,14,12,18,8,10,11,8,9,4,8,15,19,14,12,15,7,13,12,6,7,2,12,19,18,15,12,15,12,13,28,8,12,10,7,7,7,16,8,11,12,14,13,13,10,13,25,18,16,14,18,10,6,15,16,7,18,20,8,16,26,28,12,6,16,11,8,25,45,14,19,12,15,10,7,8,7,10,9,10,12,12,8,16,10,18,9,10,13,12,12,16,7,18,7,30,19,15,17,13,14,15,13,23,10,8,11,13,8,10,6,12,18,14,11,15,10,10,24,45,18,15,13,13,14,13,9,6,18,10,13,8,6,15,16,8,11,13,13,24,16,16,10,8,8,6,10,11,6,8,17,8,6,19,8,11,5,17,13,8,11,13,10,8,12,15,10,13,25,18,24,48,8,16,12,16
6,10,19,3,18,13,0,1,10,8,14,2,6,4,8,4,5,10,7,4,7,20,8,22,10,11,15,6,2,17,6,2,10,18,10,1,2,10,1,6,17,10,4,1,10,10,7,5,1,4,5,9,1,4,13,3,1,22,4,7,10,6,11,6,9,8,16,2,9,2,23,22,3,6,4,10,9,10,7,10,15,10,1,24,8,6,3,1,12,6,9,7,3,20,8,6,10,2,24,18,7,23,7,1,1,6,8,7,19,8,10,3,9,5,7,4,4,16,10,15,1,4,10,14,10,5,1,21,8,4,3,6,10,9,9,18,23,18,10,3,10,1,2,10,10,14,1,21,4,4,10,15,1,2,24,9,2,12,10,6,6,4,9,14,5,5,10,1,11,16,19,23,3,2,6,4,7,19,5,8,5,22,9,18,18,20,3,9,19,2,9,19,36,17,22,7,4,4,10,5,6,14,5,12,6,4,6,12,3,22,7,4,7,16,8,19,9,21,6,22,24,20,6,15,6,19,16,26,6,10,2,1,8,14,7,1,6,3,8,3,14,3,19,33,16,18,1,5,5,8,9,7,6,3,8,8,7,15,13,8,8,1,3,19,19,11,7,5,10,17,12,7,7,6,13,6,17,21,4,14,8,13,16,8,14,18,3,8,5,6,13,15,20,6,18,36,8,7,6,19
7,10,18,3,18,13,1,0,10,8,14,1,6,4,7,4,5,10,7,4,6,21,8,20,10,11,15,6,2,15,6,2,10,19,10,1,2,10,1,6,17,10,4,1,10,10,7,4,1,4,4,9,1,4,12,3,1,22,3,8,10,5,11,6,8,8,17,2,9,2,23,23,3,6,4,10,8,10,7,10,14,10,1,22,8,6,3,1,12,6,9,7,3,18,8,6,9,2,24,18,6,22,7,1,1,6,8,7,18,7,10,3,8,6,7,4,5,16,10,14,1,4,10,14,9,5,1,21,8,4,3,6,9,9,10,19,21,18,10,3,10,1,1,11,9,14,1,20,5,4,9,14,1,2,24,8,2,12,9,7,6,4,9,14,4,5,9,1,11,16,20,22,3,2,6,4,7,18,5,8,5,22,8,18,18,19,3,8,19,2,8,19,34,17,20,7,4,4,10,5,6,13,6,12,6,4,6,12,2,22,6,3,7,14,8,18,8,20,6,21,22,18,6,14,6,19,15,25,6,9,2,1,7,13,7,1,6,3,8,3,12,3,18,34,16,18,1,4,5,8,9,7,6,3,8,8,7,14,13,8,7,1,3,18,18,11,6,5,8,18,12,8,7,6,13,6,17,21,4,14,9,13,17,7,14,18,3,7,4,5,13,16,19,6,19,37,7,7,5,18
8,6,20,9,16,8,10,10,0,2,5,8,8,8,2,10,6,1,5,6,4,16,2,16,2,2,7,4,8,12,10,10,4,16,1,9,10,2,9,4,8,2,6,8,1,4,5,5,10,7,5,1,9,10,3,7,9,13,7,9,2,14,2,8,3,2,7,8,6,8,13,14,6,3,13,1,2,2,3,1,5,1,10,14,4,15,10,9,3,4,2,9,7,10,2,10,1,8,24,15,10,12,5,10,10,8,2,3,10,3,4,8,1,14,5,10,8,9,1,6,9,10,1,6,2,14,10,13,2,12,6,11,1,8,1,9,13,8,4,8,1,10,8,12,2,9,10,12,9,12,4,6,10,8,35,1,8,4,2,4,6,10,1,5,5,6,5,9,2,7,17,13,10,7,11,6,12,9,9,14,9,13,2,9,18,21,7,2,10,8,1,18,39,8,13,4,12,6,2,5,4,4,14,3,4,13,4,8,7,12,3,10,5,6,4,10,2,11,6,22,13,10,15,6,6,9,7,16,4,1,11,9,2,4,12,10,12,7,4,8,4,11,17,34,24,9,10,6,6,5,1,9,11,9,6,2,3,7,7,2,2,10,7,18,9,7,3,8,1,14,3,17,5,14,9,6,13,13,6,4,4,10,8,3,5,8,10,2,5,8,3,6,18,10,18,39,2,16,4,9
9,6,22,8,17,8,8,8,2,0,6,7,6,8,1,9,6,2,5,5,2,17,1,16,2,3,8,2,7,13,10,10,4,17,2,8,9,2,8,3,10,2,5,8,2,4,4,4,8,7,4,1,8,9,4,6,8,15,6,8,2,13,3,7,3,2,9,7,6,7,14,15,6,2,12,2,2,2,2,2,6,2,8,15,4,14,8,8,4,2,2,8,6,11,1,10,2,7,25,14,9,13,4,8,8,7,1,2,11,2,4,7,1,14,4,8,9,10,2,7,8,9,1,7,2,13,8,14,1,11,6,10,2,7,2,10,15,10,4,7,2,10,8,12,2,9,8,11,9,11,4,7,8,6,34,1,7,5,2,3,5,8,2,6,4,6,5,8,4,8,17,14,8,7,10,5,11,10,9,12,9,14,1,10,18,22,6,2,11,7,1,17,38,9,13,5,12,5,2,4,3,5,14,4,4,12,2,7,6,14,2,10,5,7,4,11,2,13,5,22,14,11,14,6,6,11,8,17,2,1,10,8,2,6,12,9,11,6,3,8,5,9,17,37,25,10,8,6,6,5,1,8,11,9,6,1,3,8,8,1,3,8,6,16,11,7,2,7,1,13,4,15,4,13,8,6,14,13,5,6,4,10,8,2,6,9,9,1,5,8,5,8,17,10,18,39,1,15,4,11
10,9,24,13,19,11,14,14,5,6,0,12,12,11,6,15,9,5,8,10,8,20,6,19,4,4,8,8,12,16,13,15,6,20,5,14,14,4,14,9,4,4,10,13,5,7,10,10,14,10,9,5,13,14,2,11,13,9,11,13,4,18,4,12,6,6,3,13,8,13,9,9,11,8,18,5,6,4,8,5,5,5,14,9,7,19,15,14,5,8,5,14,12,8,6,13,5,12,27,12,15,8,10,14,14,13,6,8,5,7,7,12,6,19,10,14,11,12,5,2,13,14,5,5,5,20,15,8,6,16,11,16,5,12,5,5,9,4,6,12,4,15,14,16,4,10,14,15,13,17,6,9,14,12,36,5,12,2,5,8,10,15,5,3,10,9,7,13,4,6,20,8,14,12,14,11,16,5,12,18,12,9,6,6,20,25,12,6,6,12,6,20,44,4,8,8,16,11,5,9,9,2,19,5,8,17,8,11,11,8,7,15,7,5,7,5,6,13,11,25,9,5,20,8,8,5,5,11,8,5,16,14,7,4,18,15,17,12,6,14,2,16,20,39,29,6,14,10,10,8,5,13,13,14,9,6,7,10,10,6,7,14,12,21,7,10,8,12,6,11,5,20,10,20,12,11,11,8,10,1,8,12,4,7,4,4,14,7,9,11,2,2,22,13,19,44,7,21,9,5
