Locations,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,19,22,16,16,15,22,32,4,20,4,7,17
2,19,0,12,4,4,6,13,16,16,2,15,18,4
3,22,12,0,11,11,14,4,10,20,12,19,28,16
4,16,4,11,0,1,4,13,16,12,5,13,16,5
5,16,4,11,1,0,4,12,15,13,4,13,16,6
6,15,6,14,4,4,0,16,18,11,7,11,13,3
7,22,13,4,13,12,16,0,14,20,12,20,28,17
8,32,16,10,16,15,18,14,0,26,16,26,32,20
9,4,16,20,12,13,11,20,26,0,16,1,8,13
10,20,2,12,5,4,7,12,16,16,0,16,18,5
11,4,15,19,13,13,11,20,26,1,16,0,8,13
12,7,18,28,16,16,13,28,32,8,18,8,0,15
13,17,4,16,5,6,3,17,20,13,5,13,15,0
