Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
1,0,5,10,14,25,8,14,10,4,6,9,13,12,10,8,8,4,21,12,2,7,13,8,8,14,9,6,6,6,9,8,12,8,19,8,6,20,1,6,8,5,16,6,9,14,11,16,7,14,6,12,4,5,6,4,7,8,4,8,18,6,13,9,6,6,11,4,22,9,17,8,13,23,6,6,8,9,11,9,6,10,6,11,7,12,5,8,6,4,10,10,14,8,4,15,13,8,8,7,17,6,10,4,14,18,8,21,6,18,6,9,17,4,13,8,16,6,5,4,13,6,12,8,14,1,4,20,23,16,5,6,17,13,10,2,11,12,8,7,14,14,11,13,1,12,5,13,16,4,19,8,14,9,8,7,8,10,8,8,8,6,4,10,6,7,8,14,2,13
2,5,0,7,11,20,6,9,14,1,3,4,11,18,8,12,3,2,19,18,7,6,18,2,3,11,4,4,3,11,4,4,6,13,21,3,6,15,5,1,6,1,11,2,4,10,6,21,9,9,1,7,3,1,1,1,9,9,1,4,12,2,12,4,4,3,6,1,18,4,12,3,8,18,3,9,2,10,6,9,3,12,1,8,2,17,1,3,1,8,5,8,11,3,2,10,18,11,9,2,12,3,6,9,11,15,4,16,3,22,3,6,12,9,9,3,13,2,6,10,10,9,17,4,8,6,10,15,18,10,1,4,14,10,16,4,7,18,5,9,11,13,15,17,5,14,1,18,14,6,13,3,12,4,2,2,2,15,3,4,3,4,6,5,6,7,10,9,6,9
3,10,7,0,4,18,7,10,17,7,9,7,4,19,3,15,6,8,13,19,9,12,20,6,4,5,3,10,10,14,7,5,4,15,27,5,13,13,8,7,3,6,9,6,6,8,12,22,16,10,6,6,10,8,6,8,15,16,7,5,10,9,5,5,10,10,6,8,13,6,10,6,6,15,9,16,6,11,4,12,10,19,7,2,5,21,7,6,7,10,10,3,9,4,6,8,20,18,15,5,10,9,13,12,5,11,3,15,9,25,9,12,11,11,12,5,8,9,11,12,4,11,19,4,8,9,12,12,16,9,8,3,8,10,18,8,4,20,11,16,6,20,18,19,8,20,7,21,8,8,12,5,17,4,7,8,5,18,6,4,5,11,13,11,12,13,16,6,8,15
4,14,11,4,0,22,6,14,14,11,13,11,1,16,3,12,9,12,10,16,13,16,16,10,8,1,7,15,14,11,10,9,8,12,33,9,16,15,12,10,4,10,13,9,10,11,17,20,18,13,10,10,14,11,10,12,18,20,12,9,14,13,2,9,14,13,10,12,17,11,13,10,10,19,14,20,10,8,8,8,13,22,10,5,10,16,12,10,10,10,14,3,6,8,9,11,17,21,19,9,14,13,17,9,1,14,7,18,13,20,13,16,14,9,16,9,4,14,16,15,1,8,17,9,12,12,15,16,19,12,11,7,4,7,13,12,8,17,16,19,2,23,15,16,12,25,11,16,5,9,16,8,22,8,10,13,9,14,10,7,9,14,16,16,17,17,20,10,12,18
5,25,20,18,22,0,26,12,34,22,21,17,20,37,20,32,18,23,31,38,28,19,37,18,18,22,16,20,20,31,17,17,15,32,31,17,20,6,25,20,21,20,12,20,16,11,16,42,19,12,20,13,21,21,20,22,20,17,21,17,8,20,23,16,20,21,15,20,9,17,11,18,12,6,19,20,18,28,14,28,20,22,20,16,20,38,20,18,20,28,16,22,28,17,23,10,36,19,18,19,12,20,16,29,22,8,18,5,19,42,21,16,12,28,15,17,26,20,22,31,21,28,36,18,12,24,31,6,12,11,21,19,22,27,34,23,14,38,18,19,21,21,34,36,24,22,21,38,25,25,14,17,21,17,19,18,19,36,18,18,18,20,22,15,20,18,20,12,27,18
6,8,6,7,6,26,0,14,10,6,8,10,6,12,4,7,8,7,13,11,7,11,12,8,8,6,9,9,8,7,10,8,12,7,26,8,11,20,7,6,5,5,16,6,9,14,11,15,14,14,6,13,8,6,6,6,14,14,6,9,18,8,6,9,9,8,11,6,20,9,16,8,14,23,8,14,8,4,12,4,8,17,6,9,7,12,6,8,6,4,9,4,6,8,4,14,14,15,13,7,18,8,11,4,6,18,8,22,8,16,8,11,18,4,14,9,8,8,10,10,6,4,13,8,14,8,10,21,22,15,6,5,9,6,10,6,12,13,11,14,7,18,10,13,7,18,6,13,9,4,18,9,16,9,8,7,8,11,8,8,8,9,11,10,11,11,15,14,7,14
7,14,9,10,14,12,14,0,24,10,9,6,14,26,12,21,7,12,22,25,16,8,27,7,6,14,7,9,8,20,6,6,8,21,19,7,9,11,13,9,9,9,2,8,6,12,4,30,8,1,9,4,10,10,9,10,8,7,10,6,15,8,14,6,8,9,4,10,20,5,3,6,12,9,9,8,7,18,8,18,9,9,9,11,8,26,10,7,9,17,5,11,17,6,11,11,28,8,6,8,4,8,4,18,15,18,7,8,9,31,9,5,4,17,3,6,16,8,10,19,14,17,26,6,2,14,19,11,9,2,9,9,18,16,23,12,6,28,7,8,15,10,24,26,14,11,9,26,16,15,4,6,8,6,7,7,7,24,7,7,7,8,10,4,8,7,7,10,15,6
8,10,14,17,14,34,10,24,0,15,14,19,13,4,14,3,18,14,16,2,9,17,3,16,17,14,19,16,16,4,20,18,20,3,24,17,17,29,11,16,14,16,26,16,20,24,20,6,16,24,16,23,14,14,15,15,16,17,15,19,29,16,12,18,15,15,20,14,32,20,26,17,24,33,15,16,18,6,21,6,16,17,15,18,17,3,14,17,15,7,20,14,8,19,13,25,4,16,18,16,26,16,19,6,14,26,18,32,15,7,15,18,26,7,24,18,10,15,15,8,14,7,3,18,24,10,7,30,33,24,14,15,13,8,3,12,22,3,17,16,13,24,4,3,10,18,16,3,11,9,29,18,24,18,18,17,17,2,18,18,17,16,14,21,16,17,18,23,10,22
9,4,1,7,11,22,6,10,15,0,2,5,12,17,9,12,4,2,20,16,6,5,16,4,4,12,5,4,2,11,5,4,7,12,21,4,6,15,4,2,7,1,12,3,5,11,6,20,8,10,2,9,2,1,2,1,8,8,1,5,14,2,12,4,3,2,6,1,18,5,12,4,10,19,2,8,4,8,8,8,2,12,1,9,3,16,1,4,1,7,5,9,12,4,2,10,18,10,8,3,13,2,6,8,13,16,5,17,2,21,2,5,13,8,9,4,14,2,4,8,11,8,16,4,10,4,8,15,19,11,1,5,15,12,14,2,8,16,4,8,12,12,15,17,4,13,1,17,14,6,14,4,11,4,3,3,3,16,4,4,4,4,6,6,5,6,10,9,6,9
10,6,3,9,13,21,8,9,14,2,0,4,14,17,10,12,4,2,22,17,7,3,16,4,6,14,6,2,1,11,4,5,8,13,18,4,4,14,5,3,10,4,11,4,4,10,6,21,6,9,4,7,2,2,4,2,6,6,2,4,15,1,14,5,1,1,6,2,21,4,11,4,12,17,1,6,4,9,8,9,1,10,3,11,5,17,2,4,3,9,4,11,14,6,4,10,19,8,6,5,12,1,5,9,14,19,7,16,1,22,1,4,13,8,8,5,16,1,2,10,13,8,16,6,8,6,9,14,18,11,2,7,17,14,15,3,7,17,3,6,14,10,16,18,5,12,3,19,17,6,13,5,9,6,3,2,5,16,4,6,5,2,3,5,4,4,7,10,6,8
11,9,4,7,11,17,10,6,19,5,4,0,12,20,9,15,2,6,18,22,10,6,22,2,4,12,4,4,3,15,1,2,5,16,22,2,6,11,9,4,7,4,8,3,2,8,6,24,9,6,4,4,5,5,4,5,9,8,5,2,13,4,12,2,4,4,2,5,19,1,8,2,9,14,4,8,2,13,6,13,4,12,4,8,3,22,5,2,4,12,3,8,12,3,6,8,22,11,9,3,9,4,6,13,12,16,4,13,4,26,4,6,10,12,6,2,14,4,5,14,11,13,22,3,5,9,13,11,14,7,4,4,15,12,18,7,4,22,5,8,12,12,19,21,8,14,4,20,14,10,9,3,11,3,2,2,2,19,2,4,2,4,6,5,6,7,10,6,10,9
12,13,11,4,1,20,6,14,13,12,14,12,0,16,3,12,10,12,10,16,13,16,17,11,8,1,8,15,13,10,11,9,8,11,31,10,17,16,13,11,5,11,13,10,10,11,16,19,20,14,10,10,14,11,10,12,20,20,12,10,14,13,2,10,15,13,10,12,17,11,13,10,10,19,13,19,11,8,8,8,13,23,11,5,9,16,12,10,10,9,13,3,6,8,10,11,17,22,20,10,13,14,17,10,1,14,7,18,14,22,13,17,14,9,16,10,4,13,15,16,1,8,16,8,12,14,16,16,19,13,12,8,4,6,14,13,8,17,15,19,1,22,15,17,12,25,12,17,5,9,16,9,23,9,11,12,10,14,10,8,9,15,16,16,16,18,21,10,12,19
13,12,18,19,16,37,12,26,4,17,17,20,16,0,16,5,20,15,13,6,10,18,2,18,19,16,20,18,18,6,20,20,23,6,26,19,18,31,12,17,16,18,28,19,21,27,22,6,18,26,18,23,16,16,17,16,19,20,16,20,30,18,14,20,18,18,22,16,34,20,28,20,24,34,18,18,19,9,22,8,18,18,17,21,18,3,16,20,17,9,21,17,10,20,16,27,6,19,20,19,28,17,23,8,16,28,21,34,18,6,17,22,31,9,25,19,12,17,16,11,16,9,1,21,26,12,10,32,34,27,16,18,16,10,2,14,24,3,20,18,16,26,2,2,12,20,18,6,12,11,28,21,26,20,18,19,19,2,20,18,20,17,16,23,18,20,19,26,11,26
