Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0,18,12,21,16,24,16,32,27,12,39,17,16,18,24,19,34,12,11,25,24,6
2,18,0,27,28,5,20,4,27,26,8,24,2,4,6,20,5,27,27,25,30,22,22
3,12,27,0,32,27,27,23,43,32,22,51,26,23,28,28,30,42,22,6,27,28,6
4,21,28,32,0,24,36,27,12,40,22,21,27,26,24,35,28,14,8,30,36,37,26
5,16,5,27,24,0,20,5,22,28,4,24,4,5,2,21,4,22,22,26,29,23,22
6,24,20,27,36,20,0,16,40,7,16,44,19,16,22,1,23,39,32,21,9,2,27
7,16,4,23,27,5,16,0,27,24,6,27,4,0,6,16,8,27,26,23,26,19,20
8,32,27,43,12,22,40,27,0,46,23,21,27,25,21,39,26,0,22,46,49,41,40
9,27,26,32,40,28,7,24,46,0,22,48,26,23,30,7,31,46,37,25,4,5,33
10,12,8,22,22,4,16,6,23,22,0,28,6,6,6,16,8,22,22,22,25,18,16
11,39,24,51,21,24,44,27,21,48,28,0,24,29,22,44,20,20,28,51,54,46,46
12,17,2,26,27,4,19,4,27,26,6,24,0,4,5,20,5,26,26,24,27,22,21
13,16,4,23,26,5,16,0,25,23,6,29,4,0,6,16,8,26,27,23,26,19,21
14,18,6,28,24,2,22,6,21,30,6,22,5,6,0,23,4,22,23,28,33,24,23
15,24,20,28,35,21,1,16,39,7,16,44,20,16,23,0,25,38,32,21,10,3,28
16,19,5,30,28,4,23,8,26,31,8,20,5,8,4,25,0,26,24,29,34,27,26
17,34,27,42,14,22,39,27,0,46,22,20,26,26,22,38,26,0,21,44,48,41,37
18,12,27,22,8,22,32,26,22,37,22,28,26,27,23,32,24,21,0,22,33,35,18
19,11,25,6,30,26,21,23,46,25,22,51,24,23,28,21,29,44,22,0,21,22,7
20,25,30,27,36,29,9,26,49,4,25,54,27,26,33,10,34,48,33,21,0,8,29
21,24,22,28,37,23,2,19,41,5,18,46,22,19,24,3,27,41,35,22,8,0,30
22,6,22,6,26,22,27,20,40,33,16,46,21,21,23,28,26,37,18,7,29,30,0
