Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0,17,26,16,16,8,26,22,17,16,21,17,17,15,14,15,15,16,37,23,14
2,17,0,8,2,2,11,8,5,1,2,4,0,6,3,6,3,8,9,18,5,4
3,26,8,0,10,10,18,4,4,9,10,5,8,9,11,12,11,12,12,12,4,12
4,16,2,10,0,3,10,10,7,3,2,6,2,4,2,5,2,6,7,21,6,4
5,16,2,10,3,0,10,10,6,1,0,5,2,6,2,7,2,8,8,20,7,2
6,8,11,18,10,10,0,19,15,10,10,14,11,10,8,8,8,8,7,29,16,8
7,26,8,4,10,10,19,0,4,9,10,5,8,9,12,11,12,12,12,11,5,11
8,22,5,4,7,6,15,4,0,6,6,4,5,8,8,9,8,10,11,14,4,8
9,17,1,9,3,1,10,9,6,0,1,4,1,7,2,8,3,8,10,19,6,3
10,16,2,10,2,0,10,10,6,1,0,5,2,6,2,7,2,8,9,21,7,2
11,21,4,5,6,5,14,5,4,4,5,0,4,5,7,7,6,8,8,16,2,7
12,17,0,8,2,2,11,8,5,1,2,4,0,6,3,6,3,8,8,18,5,4
13,17,6,9,4,6,10,9,8,7,6,5,6,0,5,2,5,3,3,20,6,8
14,15,3,11,2,2,8,12,8,2,2,7,3,5,0,6,0,7,8,21,8,2
15,14,6,12,5,7,8,11,9,8,7,7,6,2,6,0,6,1,2,23,8,8
16,15,3,11,2,2,8,12,8,3,2,6,3,5,0,6,0,7,8,22,8,3
17,15,8,12,6,8,8,12,10,8,8,8,8,3,7,1,7,0,1,22,9,9
18,16,9,12,7,8,7,12,11,10,9,8,8,3,8,2,8,1,0,24,9,10
19,37,18,12,21,20,29,11,14,19,21,16,18,20,21,23,22,22,24,0,14,21
20,23,5,4,6,7,16,5,4,6,7,2,5,6,8,8,8,9,9,14,0,8
21,14,4,12,4,2,8,11,8,3,2,7,4,8,2,8,3,9,10,21,8,0
