Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,13,2,9,2,4,8,1,8,18,10,11,10,9,13
2,13,0,15,10,16,12,16,14,16,4,11,10,24,15,22
3,2,15,0,11,1,3,6,2,6,20,13,9,9,7,12
4,9,10,11,0,12,9,12,9,11,12,2,8,20,12,17
5,2,16,1,12,0,3,6,2,7,19,12,10,10,7,12
6,4,12,3,9,3,0,5,4,5,17,10,8,12,5,11
7,8,16,6,12,6,5,0,8,1,20,12,6,9,1,6
8,1,14,2,9,2,4,8,0,8,18,10,12,11,8,14
9,8,16,6,11,7,5,1,8,0,19,12,6,9,1,6
10,18,4,20,12,19,17,20,18,19,0,14,14,27,18,24
11,10,11,13,2,12,10,12,10,12,14,0,9,20,13,18
12,11,10,9,8,10,8,6,12,6,14,9,0,14,6,11
13,10,24,9,20,10,12,9,11,9,27,20,14,0,9,7
14,9,15,7,12,7,5,1,8,1,18,13,6,9,0,6
15,13,22,12,17,12,11,6,14,6,24,18,11,7,6,0
