Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,10,10,12,9,9,9,8,4,9,9,9,6,13,17,10,10,21,6,6,8,10,4,14,13,14,12,13,22,19,10,11
2,10,0,8,3,1,0,0,3,6,2,0,0,4,6,9,5,0,12,4,4,4,6,8,5,3,4,2,6,13,10,4,4
3,10,8,0,8,8,7,8,11,7,9,8,7,7,4,7,12,8,12,7,7,12,13,8,9,5,8,10,4,13,9,4,10
4,12,3,8,0,4,3,3,5,9,4,3,3,7,6,9,5,3,9,7,7,8,6,10,2,3,1,2,5,10,8,4,4
5,9,1,8,4,0,0,1,3,5,2,1,1,4,6,9,5,1,12,4,4,4,6,8,5,4,4,3,5,14,11,4,4
6,9,0,7,3,0,0,0,3,5,2,0,0,4,6,9,5,1,12,4,4,4,6,8,5,3,4,3,5,12,10,4,4
7,9,0,8,3,1,0,0,3,6,2,0,0,4,6,9,5,0,12,4,4,4,6,8,5,3,4,2,5,13,10,4,4
8,8,3,11,5,3,3,3,0,4,2,3,3,4,8,12,3,3,13,4,3,2,3,6,7,6,6,4,8,15,12,6,5
9,4,6,7,9,5,5,6,4,0,5,6,6,2,9,12,7,6,17,2,2,5,6,3,10,8,9,8,9,17,16,6,8
10,9,2,9,4,2,2,2,2,5,0,2,2,4,7,11,3,2,12,3,4,4,4,8,6,5,4,3,7,14,11,6,3
11,9,0,8,3,1,0,0,3,6,2,0,0,4,6,9,5,0,12,4,4,4,6,8,5,4,4,2,5,12,10,4,4
12,9,0,7,3,1,0,0,3,6,2,0,0,4,6,10,5,0,12,4,4,4,6,8,5,3,4,3,5,13,10,4,4
13,6,4,7,7,4,4,4,4,2,4,4,4,0,8,11,6,4,15,0,1,4,6,4,8,7,8,6,8,16,14,4,6
14,13,6,4,6,6,6,6,8,9,7,6,6,8,0,4,10,5,8,8,8,10,11,11,7,3,6,7,1,10,6,4,9
15,17,9,7,9,9,9,9,12,12,11,9,10,11,4,0,13,10,5,12,11,13,14,15,11,7,10,11,4,6,3,7,13
16,10,5,12,5,5,5,5,3,7,3,5,5,6,10,13,0,5,12,6,5,5,1,9,4,8,4,4,10,12,13,8,2
17,10,0,8,3,1,1,0,3,6,2,0,0,4,5,10,5,0,12,4,4,4,6,8,5,4,4,2,5,13,10,4,4
18,21,12,12,9,12,12,12,13,17,12,12,12,15,8,5,12,12,0,16,15,16,12,20,8,9,8,10,8,1,3,12,10
19,6,4,7,7,4,4,4,4,2,3,4,4,0,8,12,6,4,16,0,1,4,7,4,8,7,7,6,8,16,13,4,6
20,6,4,7,7,4,4,4,3,2,4,4,4,1,8,11,5,4,15,1,0,4,6,4,8,7,8,6,8,16,13,4,6
21,8,4,12,8,4,4,4,2,5,4,4,4,4,10,13,5,4,16,4,4,0,5,5,9,7,8,6,9,18,14,7,6
22,10,6,13,6,6,6,6,3,6,4,6,6,6,11,14,1,6,12,7,6,5,0,9,4,8,5,4,11,12,13,9,3
23,4,8,8,10,8,8,8,6,3,8,8,8,4,11,15,9,8,20,4,4,5,9,0,12,10,11,10,12,20,17,8,10
24,14,5,9,2,5,5,5,7,10,6,5,5,8,7,11,4,5,8,8,8,9,4,12,0,5,2,3,7,9,9,6,2
25,13,3,5,3,4,3,3,6,8,5,4,3,7,3,7,8,4,9,7,7,7,8,10,5,0,4,5,2,10,8,3,6
26,14,4,8,1,4,4,4,6,9,4,4,4,8,6,10,4,4,8,7,8,8,5,11,2,4,0,2,6,9,8,4,3
27,12,2,10,2,3,3,2,4,8,3,2,3,6,7,11,4,2,10,6,6,6,4,10,3,5,2,0,6,11,9,5,2
28,13,6,4,5,5,5,5,8,9,7,5,5,8,1,4,10,5,8,8,8,9,11,12,7,2,6,6,0,9,6,4,9
29,22,13,13,10,14,12,13,15,17,14,12,13,16,10,6,12,13,1,16,16,18,12,20,9,10,9,11,9,0,3,12,10
30,19,10,9,8,11,10,10,12,16,11,10,10,14,6,3,13,10,3,13,13,14,13,17,9,8,8,9,6,3,0,9,11
31,10,4,4,4,4,4,4,6,6,6,4,4,4,4,7,8,4,12,4,4,7,9,8,6,3,4,5,4,12,9,0,7
32,11,4,10,4,4,4,4,5,8,3,4,4,6,9,13,2,4,10,6,6,6,3,10,2,6,3,2,9,10,11,7,0
